TripID,ScooterID,StartTime,EndTime,StartLatitude,StartLongitude,EndLatitude,EndLongitude,TripDistance
d15d5ba0-e6e9-4dda-b281-567ff74924e0,c7c1c2d4-e22e-4c60-ad5b-b8d62377baa3,9/30/18 11:54,9/30/18 12:32,38.25,-85.76,38.25,-85.76,3.85
119801bb-aff7-4da8-91a2-45e1a65eabc2,39a540f0-d204-4952-8d8d-d107aef3f5ae,9/30/18 11:56,9/30/18 12:06,38.25,-85.75,38.26,-85.76,0.81
bb0161e4-04af-4126-b7cf-6b042f58e44e,afc5777d-6bcc-4f3c-a837-87d41fb5f0e5,9/30/18 11:56,9/30/18 12:06,38.25,-85.75,38.26,-85.76,0.81
c39b64dd-ceed-4a01-9ff9-df1f6e919fdb,2c34061f-b921-45ed-9f90-cdf66776626e,9/30/18 12:00,9/30/18 12:08,38.26,-85.76,38.26,-85.76,0.68
8c665489-0729-4369-be56-b3f4ee74ce85,52af9c0c-80be-4b47-b099-c3a97232ffb6,9/30/18 12:00,9/30/18 14:20,38.22,-85.69,38.24,-85.72,13.3
15e43c1e-bb27-4601-aa83-d2bd0a1baced,bf27515b-8358-4941-b0af-c111b3042bf3,9/30/18 12:02,9/30/18 12:37,38.22,-85.69,38.22,-85.69,4.67
10fc11d5-d316-45de-abc4-5321a49b9b20,94556dcc-87d3-4783-bc12-30810039631e,9/30/18 12:02,9/30/18 12:05,38.25,-85.76,38.25,-85.76,0.02
3f40cb2d-919a-406a-85de-8062682b56d1,773254a2-3fea-4834-a9c3-6e36dfd416d5,9/30/18 12:04,9/30/18 12:42,38.26,-85.72,38.26,-85.73,3.79
48bd1637-58bc-43b2-9ecd-fe75f407f430,f6bc1a25-c652-4d18-b29c-ec5a6f425fa1,9/30/18 12:04,9/30/18 12:17,38.24,-85.72,38.24,-85.71,0.56
dec05c23-1d49-415c-bdff-f4069dbe7cad,2c8461af-e2d3-4a92-b481-abf0ff8edb38,9/30/18 12:05,9/30/18 12:08,38.25,-85.76,38.25,-85.76,0.05
e02f3d06-089f-4ea4-bea1-32f4a328ff33,06e3db9e-b915-417e-b828-e987d9bb758e,9/30/18 12:06,9/30/18 12:08,38.25,-85.74,38.25,-85.74,0
